t,cpuusage,avgtasktime,maxtasktime
1121,16,369,1036
1122,14,332,643
1123,16,344,590
1124,15,352,470
1125,16,357,489
1126,14,347,486
1127,15,346,513
1128,13,343,562
1129,16,326,578
1130,12,322,580
1131,14,320,602
1132,13,323,654
1133,15,324,699
1134,14,326,837
1135,15,320,576
1136,13,302,606
1137,15,312,872
1138,11,322,590
1139,14,326,614
1140,13,327,866
1141,13,327,589
1142,16,331,593
1143,16,308,606
1144,14,322,584
1145,15,324,651
1146,16,325,676
1147,16,326,581
1148,17,324,583
1149,16,324,586
1150,15,325,601
1151,13,325,586
1152,16,330,583
1153,16,343,420
1154,13,347,493
1155,14,346,422
1156,14,352,492
1157,14,338,587
1158,15,324,576
1159,14,306,600
1160,14,302,596
1161,15,309,589
1162,17,325,593
1163,19,324,588
1164,14,325,589
1165,19,324,589
1166,17,326,596
1167,18,327,646
1168,20,327,595
1169,17,327,599
1170,16,325,592
1171,17,328,661
1172,16,327,684
1173,16,327,597
1174,17,328,601
1175,18,325,604
1176,17,337,650
1177,17,320,884
1178,12,337,825
1179,16,355,501
1180,14,337,592
1181,13,306,645
1182,11,319,605
1183,14,312,836
1184,12,315,832
1185,11,322,854
1186,12,324,575
1187,12,326,580
1188,12,330,718
1189,12,334,1464
1190,11,336,619
1191,12,334,854
1192,18,346,491
1193,15,343,513
1194,14,331,622
1195,13,322,738
1196,18,323,578
1197,17,313,919
1198,16,323,709
1199,18,306,587
1200,16,301,586
1201,10,301,594
1202,15,324,584
1203,10,344,530
1204,11,348,673
1205,12,350,473
1206,17,345,529
1207,15,347,453
1208,15,326,582
1209,16,326,591
1210,17,325,586
1211,13,324,585
1212,14,324,601
1213,15,323,579
1214,14,323,591
1215,15,324,581
1216,13,327,864
1217,14,324,586
1218,15,324,595
1219,18,318,737
1220,15,326,650
1221,13,327,588
1222,13,327,602
1223,13,324,689
1224,15,324,758
1225,12,327,662
1226,12,325,599
1227,13,322,592
1228,13,326,584
1229,13,346,450
1230,15,346,487
1231,16,346,430
1232,16,358,995
1233,16,356,1009
1234,14,357,919
1235,16,346,428
1236,15,347,565
1237,15,323,596
1238,16,346,644
1239,17,341,581
1240,18,319,589
1241,15,311,558
1242,13,330,578
1243,17,348,867
1244,13,343,453
1245,12,348,506
1246,12,337,692
1247,12,321,577
1248,11,325,587
1249,11,315,730
1250,12,307,831
1251,17,328,1458
1252,17,339,587
1253,18,346,617
1254,17,342,548
1255,15,346,684
1256,16,331,590
1257,15,326,648
1258,15,325,659
1259,18,323,649
1260,17,322,592
1261,18,321,586
1262,18,322,586
1263,17,323,593
1264,18,328,594
1265,19,345,498
1266,17,345,420
1267,14,346,421
1268,14,347,484
1269,17,348,494
1270,16,345,500
1271,20,344,440
1272,15,333,589
1273,18,322,584
1274,14,326,585
1275,16,320,582
1276,16,312,751
1277,12,300,748
1278,11,304,943
1279,12,301,850
1280,12,302,985
1281,14,319,738
1282,11,324,583
1283,14,325,580
1284,13,323,586
1285,16,323,581
1286,14,334,593
1287,14,323,642
1288,16,324,581
1289,12,342,1074
1290,12,346,932
1291,14,328,590
1292,11,331,632
1293,12,326,604
1294,11,324,604
1295,12,322,591
1296,13,325,625
1297,12,320,638
1298,10,325,646
1299,14,318,856
1300,13,326,1294
1301,13,349,1100
1302,12,349,509
1303,12,350,568
1304,11,347,670
1305,11,345,540
1306,12,344,423
1307,11,343,424
1308,11,344,436
1309,12,343,425
1310,11,344,427
1311,12,343,419
1312,12,346,468
1313,11,346,494
1314,12,345,580
1315,11,344,423
1316,13,333,582
1317,13,332,573
1318,12,346,486
1319,14,347,527
1320,14,337,595
1321,17,329,577
1322,12,338,672
1323,13,345,474
1324,16,342,430
1325,15,323,597
1326,14,323,583
1327,16,323,596
1328,16,326,593
1329,15,321,588
1330,14,322,592
1331,14,321,594
1332,17,323,589
1333,13,323,590
1334,14,320,861
1335,13,327,602
1336,17,325,596
1337,18,326,650
1338,15,322,599
1339,15,325,591
1340,15,324,600
1341,19,327,680
1342,16,331,987
1343,17,324,605
1344,16,328,674
1345,17,326,604
1346,18,323,594
1347,17,328,913
1348,17,335,1048
1349,21,328,630
1350,18,327,615
1351,18,325,592
1352,18,325,601
1353,22,324,605
1354,16,331,1216
1355,17,326,827
1356,18,334,1426
1357,19,327,1367
1358,18,323,863
1359,17,353,928
1360,14,337,1098
1361,15,326,886
1362,12,323,617
1363,15,329,1189
1364,16,349,467
1365,16,346,499
1366,16,347,534
1367,15,348,537
1368,20,335,583
1369,17,322,585
1370,16,335,1140
1371,15,323,589
1372,16,325,580
1373,16,322,577
1374,16,323,586
1375,17,329,589
1376,15,347,479
1377,14,346,422
1378,14,345,430
1379,14,345,486
1380,14,345,416
1381,15,347,470
1382,16,330,590
1383,17,320,623
1384,18,324,588
1385,15,346,1382
1386,14,340,640
1387,14,323,586
1388,16,323,667
1389,13,324,657
1390,12,322,585
1391,18,322,592
1392,13,323,588
1393,16,327,604
1394,13,325,589
1395,14,326,600
1396,13,339,598
1397,15,326,589
1398,15,331,595
1399,16,343,565
1400,16,347,428
1401,13,348,432
1402,14,351,471
1403,14,350,528
1404,15,348,450
1405,15,348,464
1406,16,347,533
1407,14,349,545
1408,13,344,486
1409,15,349,577
1410,14,345,436
1411,15,349,530
1412,15,350,481
1413,14,347,473
1414,14,351,546
1415,15,348,591
1416,13,342,596
1417,16,346,522
1418,14,343,594
1419,18,322,649
1420,18,329,633
1421,18,325,586
1422,15,333,676
1423,22,333,1002
1424,16,325,669
1425,12,322,589
1426,11,332,1201
1427,12,326,648
1428,11,323,620
1429,12,325,588
1430,12,348,580
1431,19,325,591
1432,14,333,595
1433,12,346,492
1434,16,344,432
1435,16,342,469
1436,22,323,661
1437,15,345,483
1438,15,344,416
1439,15,343,435
1440,15,344,443
1441,16,347,417
1442,16,346,418
1443,15,347,427
1444,16,335,591
1445,17,324,578
1446,18,321,578
1447,16,321,577
1448,15,322,570
1449,16,321,571
1450,15,320,574
1451,14,320,568
1452,14,322,589
1453,15,322,572
1454,16,322,594
1455,14,321,577
1456,14,323,571
1457,16,326,587
1458,14,325,747
1459,17,337,1008
1460,19,328,578
1461,15,325,901
1462,15,337,662
1463,9,329,648
1464,15,349,481
1465,14,355,520
1466,11,343,496
1467,12,341,474
1468,12,343,457
1469,14,343,463
1470,13,347,503
1471,13,349,505
1472,12,347,515
1473,12,354,889
1474,13,346,653
1475,13,346,497
1476,11,359,1481
1477,17,350,557
1478,12,326,749
1479,12,321,840
1480,11,335,1978
1481,11,322,890
1482,10,310,735
1483,15,314,903
1484,18,323,629
1485,14,317,881
1486,11,318,887
1487,14,344,420
1488,15,344,427
1489,21,346,465
1490,15,345,416
1491,15,337,574
1492,16,322,628
1493,12,324,586
1494,13,324,586
1495,13,324,590
1496,14,324,594
1497,12,323,737
1498,13,300,748
1499,13,300,741
1500,13,299,742
1501,14,299,741
1502,14,306,750
1503,13,322,585
1504,14,322,641
1505,17,322,586
1506,14,321,585
1507,18,322,583
1508,17,328,672
1509,18,320,819
1510,17,319,744
1511,15,314,867
1512,15,309,743
1513,11,324,583
1514,12,328,626
1515,12,325,583
1516,13,324,588
1517,15,325,594
1518,14,305,749
1519,16,322,741
1520,16,323,615
1521,16,324,606
1522,16,325,567
1523,11,320,580
1524,18,322,680
1525,17,328,709
1526,15,315,850
1527,18,324,596
1528,12,325,582
1529,12,324,674
1530,11,325,672
1531,12,322,670
1532,11,322,586
1533,11,320,652
1534,10,319,581
1535,11,319,586
1536,11,323,883
1537,11,316,858
1538,13,324,877
1539,10,323,742
1540,10,329,878
1541,20,332,583
1542,16,347,476
1543,16,346,420
1544,12,346,422
1545,17,346,423
1546,11,345,423
1547,12,346,423
1548,13,347,428
1549,12,345,420
1550,12,348,429
1551,12,351,910
1552,11,347,496
1553,17,331,580
1554,12,321,570
1555,13,324,575
1556,14,326,654
1557,12,305,757
1558,12,320,749
1559,14,333,581
1560,15,325,720
1561,15,327,592
1562,14,324,574
1563,15,321,579
1564,18,323,586
1565,15,323,573
1566,16,325,646
1567,15,326,586
1568,15,326,597
1569,16,326,588
1570,15,326,577
1571,16,327,670
1572,17,354,990
1573,16,346,601
1574,15,318,628
1575,17,324,586
1576,18,314,618
1577,12,307,600
1578,11,335,601
1579,16,328,575
1580,14,324,579
1581,17,327,581
1582,16,321,574
1583,15,324,590
1584,16,324,899
1585,17,325,641
1586,18,324,631
1587,22,327,608
1588,14,329,1141
1589,14,300,747
1590,14,319,737
1591,15,325,569
1592,16,324,577
1593,15,324,582
1594,15,325,576
1595,15,325,655
1596,15,320,867
1597,16,329,1798
1598,17,328,582
1599,14,308,587
1600,15,318,590
1601,18,327,664
1602,15,324,584
1603,17,325,680
1604,15,324,676
1605,18,305,591
1606,20,302,601
1607,17,306,592
1608,21,337,586
1609,18,346,511
1610,13,344,477
1611,14,345,522
1612,14,345,475
1613,15,344,417
1614,13,346,494
1615,14,347,578
1616,16,328,582
1617,15,325,584
1618,11,322,588
1619,10,322,588
1620,11,324,592
1621,14,330,673
1622,14,321,1054
1623,17,302,590
1624,12,304,599
1625,16,302,652
1626,12,301,590
1627,13,301,590
1628,12,305,593
1629,13,304,663
1630,11,303,606
1631,12,308,632
1632,12,307,652
1633,12,303,680
1634,12,302,592
1635,12,315,865
1636,12,340,588
1637,16,326,599
1638,17,336,604
1639,17,347,423
1640,15,349,470
1641,15,348,512
1642,16,346,445
1643,15,346,477
1644,19,345,421
1645,16,344,460
1646,20,344,443
1647,15,346,480
1648,15,348,530
1649,16,343,415
1650,15,346,468
