t,cpuusage,tasktime
1586,15,41
1587,17,42
1588,14,40
1589,18,37
1590,12,40
1591,11,40
1592,11,40
1593,13,38
1594,10,36
1595,10,38
1596,10,36
1597,10,38
1598,11,37
1599,10,38
1600,13,35
1601,9,35
1602,11,36
1603,13,37
1604,11,37
1605,10,40
1606,12,40
1607,13,41
1608,13,42
1609,15,41
1610,14,41
1611,16,41
1612,16,40
1613,17,41
1614,15,42
1615,14,39
1616,15,41
1617,15,40
1618,14,42
1619,16,41
1620,15,39
1621,19,42
1622,16,41
1623,15,41
1624,14,39
1625,15,41
1626,14,40
1627,14,40
1628,14,39
1629,14,40
1630,19,41
1631,14,43
1632,16,41
1633,13,42
1634,15,40
1635,16,40
1636,17,40
1637,17,41
1638,15,42
1639,16,40
1640,16,41
1641,16,40
1642,16,42
1643,16,40
1644,16,40
1645,16,41
1646,19,39
1647,17,41
1648,16,42
1649,16,41
1650,16,40
1651,21,42
1652,21,41
1653,21,40
1654,14,40
1655,13,42
1656,11,40
1657,13,41
1658,13,42
1659,16,39
1660,15,40
1661,16,40
1662,14,41
1663,15,41
1664,12,42
1665,13,43
1666,14,39
1667,13,40
1668,14,40
1669,13,38
1670,13,40
1671,15,42
1672,16,40
1673,16,41
1674,14,39
1675,15,39
1676,15,41
1677,15,38
1678,14,42
1679,14,41
1680,14,41
1681,14,40
1682,15,40
1683,18,42
1684,14,40
1685,11,38
1686,11,43
1687,12,34
1688,11,36
1689,11,36
1690,9,38
1691,10,40
1692,11,41
1693,11,40
1694,10,42
1695,13,42
1696,14,38
1697,17,41
1698,14,42
1699,15,41
1700,16,40
1701,15,42
1702,15,42
1703,14,43
1704,15,42
1705,14,41
1706,15,41
1707,17,42
1708,16,40
1709,14,38
1710,15,41
1711,13,40
1712,14,39
1713,17,42
1714,15,38
1715,16,42
1716,17,41
1717,15,41
1718,18,40
1719,14,39
1720,12,39
1721,14,40
1722,14,40
1723,16,41
1724,15,41
1725,13,42
1726,13,40
1727,14,41
1728,15,42
1729,16,43
1730,14,41
1731,15,41
1732,17,42
1733,13,40
1734,13,41
1735,12,41
1736,12,42
1737,12,42
1738,13,41
1739,12,41
1740,12,42
1741,11,41
1742,12,42
1743,13,42
1744,12,41
1745,11,41
1746,11,40
1747,13,41
1748,11,42
1749,12,41
1750,12,42
1751,17,40
1752,13,42
1753,16,40
1754,17,42
1755,15,40
1756,14,41
1757,13,42
1758,13,35
1759,10,28
1760,9,36
1761,9,37
1762,10,35
1763,12,39
1764,15,38
1765,10,42
1766,16,41
1767,14,41
1768,13,41
1769,13,42
1770,12,41
1771,16,40
1772,12,42
1773,17,40
1774,12,40
1775,12,38
1776,11,38
1777,16,39
1778,11,39
1779,12,40
1780,15,40
1781,16,41
1782,14,42
1783,17,43
1784,14,42
1785,18,41
1786,15,41
1787,14,42
1788,17,42
1789,14,42
1790,18,42
1791,14,40
1792,15,42
1793,14,41
1794,15,42
1795,14,40
1796,14,40
1797,14,42
1798,19,41
1799,15,42
1800,15,40
1801,10,41
1802,11,42
1803,11,40
1804,12,40
1805,12,36
1806,11,40
1807,12,40
1808,11,38
1809,17,36
1810,11,38
1811,11,40
1812,15,41
1813,12,41
1814,17,41
1815,14,40
1816,14,41
1817,14,41
1818,13,40
1819,13,37
1820,11,30
1821,10,38
1822,10,41
1823,10,37
1824,11,38
1825,9,36
1826,10,35
1827,11,39
1828,13,40
1829,15,38
1830,11,40
1831,13,40
1832,11,36
1833,10,39
1834,12,37
1835,14,37
1836,14,38
1837,12,37
1838,11,38
1839,12,38
1840,10,38
1841,10,40
1842,11,37
1843,11,38
1844,11,37
1845,11,37
1846,11,40
1847,11,42
1848,14,43
1849,14,41
1850,15,42
1851,14,42
1852,15,166
1853,17,165
1854,11,39
1855,12,40
1856,11,40
1857,19,39
1858,17,183
1859,18,165
1860,10,173
1861,17,41
1862,12,41
1863,15,39
1864,12,40
1865,12,40
1866,12,39
1867,12,37
1868,11,42
1869,11,39
1870,11,41
1871,15,40
1872,12,40
1873,14,40
1874,14,41
1875,16,41
1876,13,42
1877,16,39
1878,14,42
1879,13,41
1880,16,39
1881,12,40
1882,13,39
1883,13,39
1884,14,40
1885,16,40
1886,13,41
1887,13,39
1888,13,38
1889,16,38
1890,10,36
1891,10,41
1892,11,41
1893,14,40
1894,19,40
1895,11,37
1896,13,38
1897,18,39
1898,12,38
1899,12,42
1900,17,40
1901,12,41
1902,13,40
1903,12,41
1904,12,42
1905,12,40
1906,14,42
1907,12,40
1908,12,40
1909,12,40
1910,17,40
1911,13,39
1912,16,40
1913,15,43
1914,15,40
1915,20,40
1916,15,40
1917,19,40
1918,16,42
1919,18,42
1920,18,40
1921,16,40
1922,15,40
1923,14,42
1924,15,40
1925,12,40
1926,14,39
1927,11,41
1928,11,40
1929,12,40
1930,15,39
1931,12,39
1932,14,39
1933,14,40
1934,15,43
1935,12,40
1936,13,42
1937,19,40
1938,15,42
1939,15,41
1940,16,41
1941,17,41
1942,17,41
1943,16,40
1944,11,40
1945,12,39
1946,13,40
1947,13,39
1948,12,40
1949,12,41
1950,12,41
1951,15,40
1952,12,41
1953,13,37
1954,16,38
1955,10,39
1956,10,41
1957,11,42
1958,15,39
1959,11,37
1960,10,38
1961,10,38
1962,10,36
1963,16,36
1964,10,36
1965,14,36
1966,10,36
1967,9,38
1968,9,38
1969,9,37
1970,10,39
1971,10,39
1972,14,41
1973,17,42
1974,15,43
1975,13,41
1976,17,42
1977,18,40
1978,12,40
1979,13,40
1980,12,42
1981,12,40
1982,17,40
1983,13,42
1984,13,41
1985,13,46
1986,18,42
1987,20,40
1988,20,40
1989,20,43
1990,15,41
1991,20,41
1992,12,39
1993,16,39
1994,11,37
1995,12,41
1996,11,39
1997,12,39
