t,cpuusage,avgtasktime,maxtasktime
1250,18,332,628
1251,15,341,701
1252,12,324,613
1253,13,323,586
1254,13,322,586
1255,13,323,596
1256,14,322,585
1257,13,324,598
1258,13,324,585
1259,13,325,604
1260,13,309,751
1261,12,329,741
1262,13,326,590
1263,16,329,675
1264,17,324,591
1265,16,322,663
1266,17,323,600
1267,17,322,602
1268,15,317,745
1269,15,300,756
1270,13,328,746
1271,11,355,1285
1272,13,347,484
1273,12,346,425
1274,13,329,580
1275,12,323,586
1276,12,321,580
1277,19,323,598
1278,13,327,587
1279,12,325,594
1280,12,323,631
1281,11,321,584
1282,11,326,620
1283,11,323,585
1284,12,337,1334
1285,10,328,755
1286,18,325,598
1287,16,325,587
1288,17,331,660
1289,11,321,586
1290,13,322,621
1291,13,327,601
1292,11,342,1914
1293,11,325,581
1294,12,322,574
1295,13,325,655
1296,12,341,578
1297,11,346,517
1298,11,341,578
1299,11,323,730
1300,20,313,743
1301,17,322,589
1302,12,324,594
1303,15,324,654
1304,15,323,590
1305,15,323,588
1306,15,326,588
1307,15,324,600
1308,15,324,601
1309,15,324,593
1310,16,309,746
1311,15,324,572
1312,12,322,574
1313,11,338,1523
1314,12,324,577
1315,12,325,582
1316,11,327,579
1317,12,323,596
1318,11,332,732
1319,11,346,462
1320,15,347,425
1321,15,347,477
1322,16,345,440
1323,15,347,525
1324,15,344,418
1325,15,346,488
1326,15,329,582
1327,16,321,589
1328,16,321,582
1329,16,320,586
1330,17,323,588
1331,16,321,579
1332,16,325,579
1333,15,331,570
1334,15,323,568
1335,10,329,866
1336,9,326,587
1337,10,324,570
1338,11,324,574
1339,10,327,575
1340,15,327,594
1341,11,323,588
1342,17,322,584
1343,13,309,888
1344,14,329,862
1345,13,329,621
1346,18,311,903
1347,13,300,616
1348,16,297,626
1349,15,296,597
1350,12,297,580
1351,11,308,942
1352,10,302,672
1353,10,303,594
1354,11,305,597
1355,11,304,598
1356,10,304,595
1357,11,317,593
1358,14,327,590
1359,14,325,596
1360,11,321,740
1361,10,323,584
1362,12,325,585
1363,15,327,582
1364,11,323,679
1365,16,323,581
1366,12,335,616
1367,17,319,749
1368,13,326,643
1369,15,324,629
1370,21,323,597
1371,17,321,592
1372,17,324,587
1373,16,327,651
1374,17,326,704
1375,17,323,585
1376,19,323,588
1377,17,321,583
1378,19,323,673
1379,17,322,590
1380,18,329,656
1381,19,331,583
1382,18,345,425
1383,15,347,493
1384,16,343,420
1385,14,349,604
1386,14,346,418
1387,13,347,490
1388,14,347,505
1389,13,347,480
1390,15,348,431
1391,14,347,431
1392,16,346,424
1393,15,346,431
1394,15,335,600
1395,14,311,740
1396,13,300,605
1397,16,301,612
1398,14,302,608
1399,13,306,900
1400,14,308,882
1401,14,309,909
1402,14,307,870
1403,14,322,846
1404,14,312,869
1405,12,324,877
1406,14,328,665
1407,17,330,675
1408,17,328,608
1409,19,327,630
1410,18,328,647
1411,18,309,645
1412,18,322,867
1413,18,311,870
1414,15,332,623
1415,15,341,425
1416,15,347,483
1417,21,344,447
1418,16,347,477
1419,15,348,504
1420,15,353,1262
1421,15,304,591
1422,16,324,601
1423,15,325,598
1424,17,322,589
1425,17,322,588
1426,17,344,420
1427,17,346,427
1428,15,334,590
1429,16,312,925
1430,17,313,1044
1431,17,310,1070
1432,14,324,576
1433,17,324,587
1434,17,324,580
1435,16,325,589
1436,16,324,582
1437,15,324,592
1438,16,323,579
1439,15,327,667
1440,15,325,584
1441,16,324,581
1442,17,334,592
1443,16,300,858
1444,15,299,734
1445,11,299,741
1446,12,299,736
1447,11,299,744
1448,11,299,744
1449,17,298,735
1450,18,299,736
1451,11,299,738
1452,17,303,738
1453,19,324,590
1454,12,328,599
1455,12,328,676
1456,14,308,878
1457,9,300,640
1458,11,320,618
1459,11,327,583
1460,11,336,1204
1461,11,323,586
1462,15,319,753
1463,16,330,583
1464,14,347,589
1465,15,344,625
1466,16,324,604
1467,15,327,645
1468,11,326,594
1469,12,325,581
1470,18,323,586
1471,19,323,587
1472,12,323,580
1473,13,325,589
1474,12,322,582
1475,11,324,596
1476,16,347,1059
1477,13,344,426
1478,15,330,580
1479,16,325,580
1480,11,319,589
1481,19,306,587
1482,12,310,765
1483,15,323,594
1484,10,322,590
1485,11,322,584
1486,14,322,618
1487,10,323,581
1488,10,322,579
1489,11,322,597
1490,12,330,605
1491,18,345,418
1492,15,346,465
1493,15,344,416
1494,15,345,417
1495,13,344,428
1496,15,343,421
1497,14,344,419
1498,14,344,416
1499,12,343,419
1500,13,374,513
1501,14,365,499
1502,16,348,906
1503,14,344,486
1504,13,344,536
1505,15,343,422
1506,14,346,503
1507,15,351,973
1508,14,350,693
1509,14,356,1221
1510,13,347,435
1511,14,349,490
1512,13,345,421
1513,15,342,564
1514,14,327,639
1515,11,324,606
1516,11,325,652
1517,11,316,644
1518,11,318,682
1519,11,315,704
1520,11,316,602
1521,11,316,595
1522,13,336,684
1523,10,339,755
1524,12,322,888
1525,16,323,593
1526,11,319,661
1527,12,322,622
1528,15,320,589
1529,11,322,638
1530,16,338,635
1531,11,350,624
1532,13,345,492
1533,11,333,591
1534,13,332,584
1535,19,343,586
1536,14,325,591
1537,11,336,588
1538,12,318,746
1539,17,318,738
1540,12,325,580
1541,14,313,869
1542,14,323,740
1543,13,326,585
1544,12,326,594
1545,12,324,586
1546,12,326,588
1547,12,325,590
1548,13,327,600
1549,11,326,594
1550,12,327,590
1551,15,326,620
1552,11,323,593
1553,11,324,744
1554,13,302,748
1555,12,304,971
1556,13,299,752
1557,13,318,864
1558,12,349,600
1559,14,347,470
1560,15,326,591
1561,15,321,586
1562,15,321,593
1563,14,322,585
1564,14,323,596
1565,14,325,590
1566,14,313,737
1567,13,301,758
1568,10,299,750
1569,10,324,988
1570,10,314,921
1571,19,319,878
1572,11,327,600
1573,13,329,909
1574,13,296,656
1575,16,309,655
1576,13,301,868
1577,15,307,882
1578,14,311,890
1579,12,316,999
1580,14,309,873
1581,11,301,752
1582,14,324,757
1583,15,324,582
1584,17,324,576
1585,17,325,590
1586,15,339,581
1587,16,324,748
1588,14,299,746
1589,16,321,743
1590,16,326,572
1591,15,303,598
1592,15,301,589
1593,16,301,642
1594,17,301,596
1595,16,300,590
1596,20,301,598
1597,17,325,640
1598,18,326,680
1599,22,323,605
1600,22,331,596
1601,18,349,491
1602,16,346,416
1603,19,346,489
1604,17,346,456
1605,20,331,596
1606,16,345,478
1607,16,345,492
1608,15,346,487
1609,14,344,420
1610,14,347,459
1611,14,327,572
1612,14,325,571
1613,15,325,576
1614,15,323,570
1615,14,322,571
1616,17,323,568
1617,15,324,652
1618,16,325,573
1619,14,315,953
1620,13,313,745
1621,11,325,586
1622,12,329,682
1623,13,334,1364
1624,14,328,603
1625,14,328,743
1626,13,316,953
1627,13,333,636
1628,14,323,574
1629,15,316,567
1630,16,316,579
1631,15,322,676
1632,16,320,583
1633,15,323,608
1634,16,317,852
1635,16,326,1048
1636,16,327,698
1637,10,322,649
1638,14,318,580
1639,13,319,581
1640,15,338,434
1641,15,360,1301
1642,17,323,585
1643,15,324,658
1644,17,327,596
1645,16,327,707
1646,12,340,872
1647,10,322,596
1648,15,325,599
1649,11,325,590
